ID_HDC_G0;QA2_1V;AREA;BBX_LATMN;BBX_LONMN;BBX_LATMX;BBX_LONMX;GCPNT_LAT;GCPNT_LON;CTR_MN_NM;CTR_MN_ISO;XBRDR;XCTR_NBR;XC_NM_LST;XC_ISO_LST;GRGN_L1;GRGN_L2;UC_NM_MN;UC_NM_LST;UC_NM_SRC;H75_NBR;H90_NBR;H00_NBR;H75_AREA
8872;1;22;16.40705864;81.63406257;16.45636478;81.71427304;16.42685523;81.67895118;India;IND;0;1;India;IND;Asia;South-Central Asia;Narasapuram;Narasapuram;GISCO OSM;1;1;1;8
8873;2;3;25.7959851;84.93307622;25.80440322;84.96876218;25.80019414;84.95091864;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
8874;2;9;25.61084368;84.86179603;25.65291169;84.91226258;25.63842096;84.88281639;India;IND;0;1;India;IND;Asia;South-Central Asia;Maner;Maner;GISCO OSM;0;0;0;0
8875;2;3;23.84054958;84.10571036;23.85728537;84.13016377;23.84752273;84.11730141;India;IND;0;1;India;IND;Asia;South-Central Asia;Barwadih;Barwadih;GISCO OSM;0;0;1;0
8876;1;9;26.49547047;85.26797322;26.52922104;85.31461527;26.51281404;85.29134635;India;IND;0;1;India;IND;Asia;South-Central Asia;Sheohar;Sheohar;GISCO OSM;0;1;1;0
8877;1;14;25.54354656;84.83959279;25.59401805;84.88259365;25.5687813;84.86227962;India;IND;0;1;India;IND;Asia;South-Central Asia;Bihta;Bihta;;;;;
8878;2;5;24.43517812;84.35913767;24.45194352;84.40839436;24.44104592;84.38589284;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;1;0
8879;1;16;16.5056757;81.70070515;16.55499143;81.7519089;16.52519593;81.72606281;India;IND;0;1;India;IND;Asia;South-Central Asia;Palakollu;Palakollu;GISCO OSM;1;1;1;14
8880;2;1;25.95596831;85.02579066;25.96439076;85.04022319;25.96017951;85.0330066;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;1;0
8881;2;5;25.87175637;85.01318803;25.89701756;85.04514387;25.88270263;85.02816404;India;IND;0;1;India;IND;Asia;South-Central Asia;Parsa;Parsa;GISCO OSM;0;0;1;0
